id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
236,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
237,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
238,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
239,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
240,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
241,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
242,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
243,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
244,EPIC 220674823 b,798,7.72 Earths,12.101,2016
245,EPIC 220674823 c,798,5.8 Earths,12.101,2016
246,EPIC 228836835 b,490,1.37 Earths,16.77,2021
247,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
248,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
249,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
